Filename                                   Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
doom-app/src/audio_system.rs                   643               193    69.98%          47                 9    80.85%         459               154    66.45%           0                 0         -
doom-app/src/cheats.rs                         255                52    79.61%          17                 2    88.24%         153                35    77.12%           0                 0         -
doom-app/src/cogmind/effects.rs                314                65    79.30%          20                 2    90.00%         278                53    80.94%           0                 0         -
doom-app/src/cogmind/glyphs.rs                 408                 5    98.77%          45                 0   100.00%         380                13    96.58%           0                 0         -
doom-app/src/cogmind/lighting.rs               272                 1    99.63%          37                 0   100.00%         193                 0   100.00%           0                 0         -
doom-app/src/cogmind/render.rs                 535                86    83.93%          15                 1    93.33%         330                62    81.21%           0                 0         -
doom-app/src/cogmind/sight_line.rs             133                 0   100.00%          13                 0   100.00%          74                 0   100.00%           0                 0         -
doom-app/src/cogmind/tile_grid.rs              468                64    86.32%          22                 4    81.82%         333                40    87.99%           0                 0         -
doom-app/src/cogmind/visibility.rs             163                 2    98.77%          16                 0   100.00%          96                 0   100.00%           0                 0         -
doom-app/src/console.rs                        144                24    83.33%          15                 2    86.67%          98                13    86.73%           0                 0         -
doom-app/src/demo_mode.rs                      509                32    93.71%          41                 6    85.37%         346                24    93.06%           0                 0         -
doom-app/src/main.rs                          5147              2153    58.17%         191                55    71.20%        3462              1421    58.95%           0                 0         -
doom-app/src/net_mode.rs                       410               188    54.15%          20                 5    75.00%         264               116    56.06%           0                 0         -
doom-app/src/savegame.rs                       304                14    95.39%          17                 1    94.12%         169                 7    95.86%           0                 0         -
doom-audio/src/driver.rs                       159               110    30.82%          10                 6    40.00%         104                54    48.08%           0                 0         -
doom-audio/src/midi.rs                         840                26    96.90%          44                 1    97.73%         576                14    97.57%           0                 0         -
doom-audio/src/mixer.rs                        160                16    90.00%          13                 2    84.62%         120                19    84.17%           0                 0         -
doom-audio/src/mus.rs                          277                51    81.59%           8                 1    87.50%         174                37    78.74%           0                 0         -
